instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE148I07SF0,23289.0,0IHFL26,SEC RE NCD SR III,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE148I07SK0,23299.0,0IHFL27,SEC RE NCD SR VI,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE338I07156,23700.0,0MOFSL26,SEC RE NCD SR II,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE338I07099,23704.0,0MOFSL27,SEC RE NCD SR IV,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE614X07274,13017.0,1004DLSL24,DHANI LOANS & SERV LTD,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE244L07309,14028.0,1030ICC26,SEC RE NCD SR.V,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE244L07531,15240.0,1050ICCL28,SEC RE NCD SR.VI,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE614X07282,13021.0,1052DLSL24,DHANI LOANS & SERV LTD,1050.2,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE144J01027,16921.0,20MICRONS,20 MICRONS LTD,180.35,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE253B01015,7750.0,21STCENMGM,21ST CENTURY MGMT SERVICE,53.59,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE466L01038,13061.0,360ONE,360 ONE WAM LIMITED,790.45,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE748C01038,6232.0,3IINFOLTD,3I INFOTECH LIMITED,36.8,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE470A01017,474.0,3MINDIA,3M INDIA LIMITED,36233.6,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE105C01023,2595.0,3PLAND,3P LAND HOLDINGS LIMITED,31.4,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE768P01012,5621.0,3RDROCK,3RD ROCK MULTIMEDIA LTD,,,,0.05,5200.0,EQUITY,,NSE
NSE_EQ|INE618L01018,445.0,5PAISA,5PAISA CAPITAL LIMITED,530.4,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE111B01023,11868.0,63MOONS,63 MOONS TECHNOLOGIES LTD,359.1,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE053F07579,29323.0,734IRFC28,7.34 NCD 19FEB28 TR1 SR2,1101.01,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE020B07GX4,29111.0,738REC27TF,TAXFREE SEC NCD TR1 S2,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE031A07865,29312.0,751HUDCO28,7.51 NCD 16FEB28 TR1 SR2,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE031A07840,31240.0,82HUDCO27,8.20 NCD05MAR27 FV 1000,1090.6,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE148I07KJ9,5842.0,82IHFL24,SEC RE NCD SR.V,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE148I07LZ3,11324.0,833IHFL24,SEC RE NCD SR.II,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE202E07120,1380.0,855IREDA29,IREDA 8.55NCDTR I SR II A,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE202E07146,1383.0,855IREDA34,IREDA 8.55NCDTR I SR IIIA,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE557F07165,1761.0,865NHB34,NHB 8.65 NCD TR II SR 3 A,,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE557F07157,1758.0,868NHB29,NHB 8.68 NCD TR II SR 2 A,,,,0.01,1.0,EQUITY,,NSE
